Year,Week,Date_Wk,Date,State,Commodity,Commodity_type,Market,price
2019,5,02/03/2019,01/01/2019,Katsina,rice,rice_thailand,farm_gate,361
2019,5,02/03/2019,01/01/2019,Katsina,rice,rice_thailand,retail,312.35
2019,5,02/03/2019,01/01/2019,Katsina,rice,rice_thailand,wholesale,142.73
2019,6,02/10/2019,02/01/2019,Kano,maize,maize_white,farm_gate,91.87
2019,6,02/10/2019,02/01/2019,Kano,maize,maize_white,retail,100.96
2019,6,02/10/2019,02/01/2019,Kano,maize,maize_yellow,farm_gate,96.96
2019,6,02/10/2019,02/01/2019,Kano,maize,maize_yellow,retail,105.31
2019,6,02/10/2019,02/01/2019,Kano,rice,rice_indian,farm_gate,300
2019,6,02/10/2019,02/01/2019,Kano,rice,rice_indian,retail,321.11
2019,6,02/10/2019,02/01/2019,Kano,rice,rice_indian,wholesale,132
2019,6,02/10/2019,02/01/2019,Kano,rice,rice_thailand,farm_gate,335.02
2019,6,02/10/2019,02/01/2019,Kano,rice,rice_thailand,retail,338.5
2019,6,02/10/2019,02/01/2019,Kano,rice,rice_thailand,wholesale,140
2019,6,02/10/2019,02/01/2019,Katsina,maize,maize_white,farm_gate,94.28
2019,6,02/10/2019,02/01/2019,Katsina,maize,maize_white,retail,100.87
2019,6,02/10/2019,02/01/2019,Katsina,maize,maize_white,wholesale,79.55
2019,6,02/10/2019,02/01/2019,Katsina,maize,maize_yellow,farm_gate,106.84
2019,6,02/10/2019,02/01/2019,Katsina,maize,maize_yellow,retail,97.19
2019,6,02/10/2019,02/01/2019,Katsina,maize,maize_yellow,wholesale,85.25
2019,6,02/10/2019,02/01/2019,Katsina,rice,rice_indian,farm_gate,293.89
2019,6,02/10/2019,02/01/2019,Katsina,rice,rice_indian,retail,279.26
2019,6,02/10/2019,02/01/2019,Katsina,rice,rice_thailand,farm_gate,303.47
2019,6,02/10/2019,02/01/2019,Katsina,rice,rice_thailand,retail,290.99
2019,7,02/17/2019,02/01/2019,Kano,maize,maize_white,farm_gate,100
2019,7,02/17/2019,02/01/2019,Kano,maize,maize_white,retail,98.41
2019,7,02/17/2019,02/01/2019,Kano,maize,maize_yellow,farm_gate,100
2019,7,02/17/2019,02/01/2019,Kano,maize,maize_yellow,retail,103.93
2019,7,02/17/2019,02/01/2019,Kano,rice,rice_indian,retail,309.97
2019,7,02/17/2019,02/01/2019,Kano,rice,rice_thailand,farm_gate,405
2019,7,02/17/2019,02/01/2019,Kano,rice,rice_thailand,retail,329.57
2019,7,02/17/2019,02/01/2019,Katsina,maize,maize_white,farm_gate,77
2019,7,02/17/2019,02/01/2019,Katsina,maize,maize_white,retail,91.68
2019,7,02/17/2019,02/01/2019,Katsina,maize,maize_white,wholesale,83.04
2019,7,02/17/2019,02/01/2019,Katsina,maize,maize_yellow,farm_gate,82.5
2019,7,02/17/2019,02/01/2019,Katsina,maize,maize_yellow,retail,91.09
2019,7,02/17/2019,02/01/2019,Katsina,maize,maize_yellow,wholesale,86.96
2019,7,02/17/2019,02/01/2019,Katsina,rice,rice_indian,retail,288.44
2019,7,02/17/2019,02/01/2019,Katsina,rice,rice_thailand,farm_gate,320
2019,7,02/17/2019,02/01/2019,Katsina,rice,rice_thailand,retail,336.71
2019,8,02/24/2019,02/01/2019,Kano,maize,maize_white,farm_gate,80
2019,8,02/24/2019,02/01/2019,Kano,maize,maize_white,retail,95.39
2019,8,02/24/2019,02/01/2019,Kano,maize,maize_yellow,retail,102.77
2019,8,02/24/2019,02/01/2019,Kano,rice,rice_indian,retail,312.26
2019,8,02/24/2019,02/01/2019,Kano,rice,rice_indian,wholesale,132
2019,8,02/24/2019,02/01/2019,Kano,rice,rice_thailand,retail,365.06
2019,8,02/24/2019,02/01/2019,Kano,rice,rice_thailand,wholesale,141.82
2019,8,02/24/2019,02/01/2019,Katsina,maize,maize_white,farm_gate,83
2019,8,02/24/2019,02/01/2019,Katsina,maize,maize_white,retail,92.21
2019,8,02/24/2019,02/01/2019,Katsina,maize,maize_white,wholesale,82.88
2019,8,02/24/2019,02/01/2019,Katsina,maize,maize_yellow,farm_gate,82.5
2019,8,02/24/2019,02/01/2019,Katsina,maize,maize_yellow,retail,98.76
2019,8,02/24/2019,02/01/2019,Katsina,maize,maize_yellow,wholesale,86.32
2019,8,02/24/2019,02/01/2019,Katsina,rice,rice_indian,retail,283.69
2019,8,02/24/2019,02/01/2019,Katsina,rice,rice_thailand,farm_gate,303.33
2019,8,02/24/2019,02/01/2019,Katsina,rice,rice_thailand,retail,325.37
2019,9,03/03/2019,02/01/2019,Kano,maize,maize_white,farm_gate,83.33
2019,9,03/03/2019,02/01/2019,Kano,maize,maize_white,retail,97.64
2019,9,03/03/2019,02/01/2019,Kano,maize,maize_yellow,retail,102.18
2019,9,03/03/2019,02/01/2019,Kano,rice,rice_thailand,retail,371.95
2019,9,03/03/2019,02/01/2019,Katsina,maize,maize_white,farm_gate,83.5
2019,9,03/03/2019,02/01/2019,Katsina,maize,maize_white,retail,93.55
2019,9,03/03/2019,02/01/2019,Katsina,maize,maize_white,wholesale,81.14
2019,9,03/03/2019,02/01/2019,Katsina,maize,maize_yellow,farm_gate,90.67
2019,9,03/03/2019,02/01/2019,Katsina,maize,maize_yellow,retail,99.71
2019,9,03/03/2019,02/01/2019,Katsina,maize,maize_yellow,wholesale,87
2019,9,03/03/2019,02/01/2019,Katsina,rice,rice_indian,retail,284.67
2019,9,03/03/2019,02/01/2019,Katsina,rice,rice_thailand,farm_gate,306.67
2019,9,03/03/2019,02/01/2019,Katsina,rice,rice_thailand,retail,290.42
2019,10,03/10/2019,03/01/2019,Kano,maize,maize_white,farm_gate,100
2019,10,03/10/2019,03/01/2019,Kano,maize,maize_white,retail,100.91
2019,10,03/10/2019,03/01/2019,Kano,maize,maize_yellow,farm_gate,100
2019,10,03/10/2019,03/01/2019,Kano,maize,maize_yellow,retail,102.07
2019,10,03/10/2019,03/01/2019,Kano,rice,rice_indian,retail,343.5
2019,10,03/10/2019,03/01/2019,Kano,rice,rice_thailand,farm_gate,400
2019,10,03/10/2019,03/01/2019,Kano,rice,rice_thailand,retail,394.42
2019,10,03/10/2019,03/01/2019,Katsina,maize,maize_white,retail,99.81
2019,10,03/10/2019,03/01/2019,Katsina,maize,maize_white,wholesale,80.22
2019,10,03/10/2019,03/01/2019,Katsina,maize,maize_yellow,farm_gate,87.75
2019,10,03/10/2019,03/01/2019,Katsina,maize,maize_yellow,retail,100.54
2019,10,03/10/2019,03/01/2019,Katsina,maize,maize_yellow,wholesale,85.47
2019,10,03/10/2019,03/01/2019,Katsina,rice,rice_thailand,farm_gate,276
2019,10,03/10/2019,03/01/2019,Katsina,rice,rice_thailand,retail,300.1
2019,11,03/17/2019,03/01/2019,Kano,maize,maize_white,farm_gate,90.99
2019,11,03/17/2019,03/01/2019,Kano,maize,maize_white,retail,108.15
2019,11,03/17/2019,03/01/2019,Kano,maize,maize_yellow,farm_gate,94.11
2019,11,03/17/2019,03/01/2019,Kano,maize,maize_yellow,retail,100.52
2019,11,03/17/2019,03/01/2019,Kano,rice,rice_indian,retail,304.95
2019,11,03/17/2019,03/01/2019,Kano,rice,rice_thailand,farm_gate,410
2019,11,03/17/2019,03/01/2019,Kano,rice,rice_thailand,retail,314.12
2019,11,03/17/2019,03/01/2019,Katsina,maize,maize_white,farm_gate,84
2019,11,03/17/2019,03/01/2019,Katsina,maize,maize_white,retail,93.62
2019,11,03/17/2019,03/01/2019,Katsina,maize,maize_white,wholesale,84.42
2019,11,03/17/2019,03/01/2019,Katsina,maize,maize_yellow,farm_gate,89
2019,11,03/17/2019,03/01/2019,Katsina,maize,maize_yellow,retail,92.15
2019,11,03/17/2019,03/01/2019,Katsina,maize,maize_yellow,wholesale,86.21
2019,11,03/17/2019,03/01/2019,Katsina,rice,rice_thailand,retail,348.09
2019,12,03/24/2019,03/01/2019,Kano,maize,maize_white,farm_gate,94.06
2019,12,03/24/2019,03/01/2019,Kano,maize,maize_white,retail,98.03
2019,12,03/24/2019,03/01/2019,Kano,maize,maize_yellow,farm_gate,91.08
2019,12,03/24/2019,03/01/2019,Kano,maize,maize_yellow,retail,99.4
2019,12,03/24/2019,03/01/2019,Kano,rice,rice_indian,retail,367.01
2019,12,03/24/2019,03/01/2019,Kano,rice,rice_thailand,farm_gate,392.36
2019,12,03/24/2019,03/01/2019,Kano,rice,rice_thailand,retail,379.15
2019,12,03/24/2019,03/01/2019,Katsina,maize,maize_white,farm_gate,71
2019,12,03/24/2019,03/01/2019,Katsina,maize,maize_white,retail,95.37
2019,12,03/24/2019,03/01/2019,Katsina,maize,maize_white,wholesale,71.5
2019,12,03/24/2019,03/01/2019,Katsina,maize,maize_yellow,farm_gate,83.8
2019,12,03/24/2019,03/01/2019,Katsina,maize,maize_yellow,retail,92.73
2019,12,03/24/2019,03/01/2019,Katsina,maize,maize_yellow,wholesale,83.33
2019,12,03/24/2019,03/01/2019,Katsina,rice,rice_indian,farm_gate,242.5
2019,12,03/24/2019,03/01/2019,Katsina,rice,rice_indian,retail,243
2019,12,03/24/2019,03/01/2019,Katsina,rice,rice_thailand,farm_gate,288.8
2019,12,03/24/2019,03/01/2019,Katsina,rice,rice_thailand,retail,308.17
2019,13,03/31/2019,03/01/2019,Kano,maize,maize_white,farm_gate,100
2019,13,03/31/2019,03/01/2019,Kano,maize,maize_white,retail,97.68
2019,13,03/31/2019,03/01/2019,Kano,maize,maize_yellow,farm_gate,100
2019,13,03/31/2019,03/01/2019,Kano,maize,maize_yellow,retail,104.13
2019,13,03/31/2019,03/01/2019,Kano,rice,rice_indian,retail,359.43
2019,13,03/31/2019,03/01/2019,Kano,rice,rice_thailand,farm_gate,354.4
2019,13,03/31/2019,03/01/2019,Kano,rice,rice_thailand,retail,376.12
2019,13,03/31/2019,03/01/2019,Katsina,maize,maize_white,farm_gate,87
2019,13,03/31/2019,03/01/2019,Katsina,maize,maize_white,retail,99.53
2019,13,03/31/2019,03/01/2019,Katsina,maize,maize_white,wholesale,81.68
2019,13,03/31/2019,03/01/2019,Katsina,maize,maize_yellow,farm_gate,80
2019,13,03/31/2019,03/01/2019,Katsina,maize,maize_yellow,retail,94.57
2019,13,03/31/2019,03/01/2019,Katsina,maize,maize_yellow,wholesale,82.04
2019,13,03/31/2019,03/01/2019,Katsina,rice,rice_indian,retail,299.06
2019,13,03/31/2019,03/01/2019,Katsina,rice,rice_thailand,farm_gate,290
2019,13,03/31/2019,03/01/2019,Katsina,rice,rice_thailand,retail,289.39
2019,14,04/07/2019,04/01/2019,Kano,maize,maize_white,farm_gate,101.05
2019,14,04/07/2019,04/01/2019,Kano,maize,maize_white,retail,101.82
2019,14,04/07/2019,04/01/2019,Kano,maize,maize_yellow,farm_gate,101.05
2019,14,04/07/2019,04/01/2019,Kano,maize,maize_yellow,retail,111.35
2019,14,04/07/2019,04/01/2019,Kano,rice,rice_indian,retail,351.16
2019,14,04/07/2019,04/01/2019,Kano,rice,rice_thailand,farm_gate,372.25
2019,14,04/07/2019,04/01/2019,Kano,rice,rice_thailand,retail,388.87
2019,14,04/07/2019,04/01/2019,Katsina,maize,maize_white,farm_gate,98.37
2019,14,04/07/2019,04/01/2019,Katsina,maize,maize_white,retail,94.99
2019,14,04/07/2019,04/01/2019,Katsina,maize,maize_white,wholesale,80.53
2019,14,04/07/2019,04/01/2019,Katsina,maize,maize_yellow,farm_gate,92.81
2019,14,04/07/2019,04/01/2019,Katsina,maize,maize_yellow,retail,94.52
2019,14,04/07/2019,04/01/2019,Katsina,maize,maize_yellow,wholesale,81.29
2019,14,04/07/2019,04/01/2019,Katsina,rice,rice_thailand,farm_gate,289.97
2019,14,04/07/2019,04/01/2019,Katsina,rice,rice_thailand,retail,306.31
2019,15,04/14/2019,04/01/2019,Kano,maize,maize_white,retail,99.09
2019,15,04/14/2019,04/01/2019,Kano,maize,maize_yellow,retail,109.99
2019,15,04/14/2019,04/01/2019,Kano,rice,rice_indian,retail,369.13
2019,15,04/14/2019,04/01/2019,Kano,rice,rice_thailand,retail,384.08
2019,15,04/14/2019,04/01/2019,Katsina,maize,maize_white,farm_gate,85.5
2019,15,04/14/2019,04/01/2019,Katsina,maize,maize_white,retail,99.53
2019,15,04/14/2019,04/01/2019,Katsina,maize,maize_white,wholesale,80.13
2019,15,04/14/2019,04/01/2019,Katsina,maize,maize_yellow,farm_gate,80
2019,15,04/14/2019,04/01/2019,Katsina,maize,maize_yellow,retail,102.38
2019,15,04/14/2019,04/01/2019,Katsina,maize,maize_yellow,wholesale,79.62
2019,15,04/14/2019,04/01/2019,Katsina,rice,rice_indian,retail,319.59
2019,15,04/14/2019,04/01/2019,Katsina,rice,rice_thailand,farm_gate,188.67
2019,15,04/14/2019,04/01/2019,Katsina,rice,rice_thailand,retail,292.34
2019,15,04/14/2019,04/01/2019,Katsina,rice,rice_thailand,wholesale,136
2019,16,04/21/2019,04/01/2019,Kano,maize,maize_white,retail,98.07
2019,16,04/21/2019,04/01/2019,Kano,maize,maize_yellow,retail,103.78
